Name,Country,Div Rank,Gender Rank,Overall Rank,Swim,Bike,Run,Finish,Points,T total,gender_rank_best_woman_after,gender
"Keller, Ben",USA,29,171,210,0:27:33,1:24:35,0:52:49,2:50:56,350,0:05:59,40,M
"Brown, Matthew",USA,30,172,211,0:27:06,1:28:11,0:49:32,2:51:05,350,0:06:16,40,M
"Ullman, Kristen",USA,13,40,211,0:29:44,1:25:06,0:51:46,2:51:05,457,0:04:29,41,F
"Wang, Howard",USA,25,172,211,0:33:33,1:15:28,0:55:55,2:51:05,350,0:06:09,41,M
"Schmitz, Randy",USA,15,174,214,0:31:46,1:21:28,0:48:08,2:51:16,582,0:09:54,41,M
"Allen, Darren",USA,31,175,215,0:30:36,1:19:06,0:54:40,2:51:24,350,0:07:02,41,M
"Bell, Jennifer",USA,5,41,216,0:26:23,1:23:11,0:55:09,2:51:26,763,0:06:43,42,F
"Larson, Elizabeth",USA,6,42,217,0:31:46,1:23:11,0:50:17,2:51:29,598,0:06:15,43,F
"Amende, Brian",USA,26,176,218,0:27:53,1:33:13,0:45:16,2:51:38,350,0:05:16,43,M
"Nolte, Sven",DEU,32,177,219,0:35:32,1:17:08,0:50:10,2:52:13,350,0:09:23,43,M
"Barnes, Anthony",USA,11,178,220,0:31:16,1:22:17,0:49:14,2:52:18,362,0:09:31,43,M
"Suburu, Eric",USA,32,178,220,0:32:15,1:21:10,0:52:47,2:52:15,350,0:06:03,43,M
"Grothjan, Nick",USA,33,179,221,0:34:32,1:20:55,0:49:28,2:52:19,350,0:07:24,43,M
"Sanborn, Jonathan",USA,32,180,222,0:32:57,1:28:13,0:39:46,2:52:23,350,0:11:27,43,M
"Fullaondo, Emilio",MEX,27,181,223,0:23:08,1:30:44,0:49:05,2:52:30,350,0:09:33,43,M
"Wieczorek, Michael",USA,27,182,224,0:35:55,1:19:03,0:48:23,2:52:36,350,0:09:15,43,M
"Coronado, Basil",PHL,28,183,225,0:39:09,1:16:12,0:49:08,2:53:18,350,0:08:49,43,M
"Vogel, Eric",USA,29,184,226,0:35:16,1:19:43,0:54:10,2:53:54,350,0:04:45,43,M
"Becerra, Billy",USA,34,185,227,0:31:28,1:22:53,0:52:07,2:53:57,350,0:07:29,43,M
"Ginther, David",USA,30,186,228,0:31:43,1:19:35,0:56:03,2:54:08,350,0:06:47,43,M
"Chermak, Ron",USA,12,187,229,0:40:18,1:19:47,0:47:44,2:54:10,350,0:06:21,43,M
"Takahashi, Colleen",USA,7,43,230,0:31:02,1:25:52,0:52:14,2:54:14,400,0:05:06,44,F
"Barrad, Natalie",USA,5,44,231,0:27:03,1:26:57,0:53:29,2:54:19,696,0:06:50,45,F
"Johnson , Brandon",USA,33,188,232,0:33:35,1:22:56,0:50:18,2:54:22,350,0:07:33,45,M
"Mancy, Gabrielle",USA,2,45,233,0:25:41,1:34:11,0:49:56,2:54:46,890,0:04:58,46,F
"Bjornsson, Axel",ISL,13,189,234,0:35:56,1:18:02,0:54:38,2:54:49,350,0:06:13,46,M
"O'Keefe, Jennifer",USA,6,46,235,0:31:20,1:24:23,0:51:51,2:54:54,690,0:07:20,47,F
"Mccarley, Land",USA,35,190,236,0:31:24,1:20:36,0:56:42,2:54:55,350,0:06:13,47,M
"Hearty, William",USA,22,191,237,0:28:38,1:29:21,0:49:44,2:55:19,350,0:07:36,47,M
"Gillis, Adrienne",USA,8,47,238,0:31:57,1:27:43,0:47:58,2:55:20,377,0:07:42,48,F
"Griffith, Dan",USA,28,192,239,0:31:58,1:21:30,0:48:13,2:55:24,350,0:13:43,48,M
"Young, Lilias",USA,7,48,240,0:31:36,1:24:55,0:51:43,2:55:29,678,0:07:15,49,F
"Kwok, Jason",USA,29,193,241,0:37:21,1:23:59,0:48:14,2:55:31,350,0:05:57,49,M
"Blay, Christopher",USA,36,194,242,0:30:53,1:28:08,0:45:28,2:55:43,350,0:11:14,49,M
"Spelke, Jon",USA,16,195,243,0:30:00,1:22:38,0:55:32,2:56:04,481,0:07:54,49,M
"Gillis, Ryan",USA,23,196,244,0:28:03,1:32:35,0:45:19,2:56:05,350,0:10:08,49,M
"Metz, Michael",USA,24,197,245,0:36:07,1:23:50,0:50:07,2:56:06,350,0:06:02,49,M
"Carstensen, Haley",USA,9,49,246,0:27:02,1:32:29,0:48:24,2:56:08,360,0:08:13,50,F
"Granquist, Liz",USA,6,50,247,0:31:52,1:25:06,0:52:50,2:56:16,655,0:06:28,51,F
"Livoni, Christopher",USA,30,198,248,0:30:02,1:31:21,0:50:32,2:56:24,350,0:04:29,51,M
"Parris, Kimberly",USA,7,51,249,0:38:35,1:19:25,0:51:46,2:56:25,652,0:06:39,52,F
"Richmond, Shannon",USA,14,52,250,0:28:44,1:29:13,0:52:27,2:56:46,350,0:06:22,53,F
"Updegraff, Michael",USA,31,199,251,0:35:12,1:18:45,0:55:33,2:56:51,350,0:07:21,53,M
"Sartorio, Renato",BRA,31,200,252,0:35:45,1:20:57,0:52:25,2:56:55,350,0:07:48,53,M
"Czajkowski, Katrine",USA,8,53,253,0:30:39,1:25:54,0:54:15,2:56:56,641,0:06:08,54,F
"Rankin, Pam",USA,4,54,254,0:29:14,1:30:23,0:47:49,2:57:02,664,0:09:36,55,F
"Winters, Craig",USA,32,201,255,0:35:59,1:22:17,0:54:10,2:57:16,350,0:04:50,55,M
"Risberg, Garrett",USA,37,202,256,0:30:01,1:30:47,0:46:25,2:57:17,350,0:10:04,55,M
"Atkins, Carey",USA,8,55,257,0:35:16,1:24:34,0:50:11,2:57:21,639,0:07:20,56,F
"Qaqish, Clement",CAN,34,203,258,0:38:29,1:23:45,0:46:50,2:57:23,350,0:08:19,56,M
"Kirsten, Nico",USA,33,204,259,0:32:19,1:23:19,0:54:43,2:57:37,350,0:07:16,56,M
"Salcido, Vincent",USA,17,205,260,0:32:37,1:24:49,0:54:28,2:57:42,447,0:05:48,56,M
"Messinger, Amanda",USA,15,56,261,0:34:52,1:29:30,0:45:53,2:57:55,350,0:07:40,56,M
"West, Courtney",USA,3,56,261,0:30:34,1:34:24,0:47:01,2:57:55,823,0:05:56,58,M
"Chen, Carolyne",USA,10,58,263,0:35:44,1:29:18,0:47:55,2:57:58,350,0:05:01,59,F
"Egorov, Sergey",USA,6,206,264,0:35:07,1:23:51,0:53:28,2:58:00,350,0:05:34,59,M
"Woodward, Juan Pablo",MEX,11,207,265,0:28:59,1:27:20,0:52:41,2:58:05,350,0:09:05,59,M
"Gutierrez, Aleksei",MEX,14,208,266,0:29:48,1:23:00,0:57:58,2:58:09,350,0:07:23,59,M
"Disanti, Michelle",USA,7,59,267,0:32:41,1:19:55,0:59:07,2:58:11,458,0:06:28,60,F
"Molloie, William",USA,15,209,268,0:34:41,1:26:27,0:51:51,2:58:25,350,0:05:26,60,M
"Yanoschik, Jim",USA,7,210,269,0:30:15,1:20:01,1:01:11,2:58:26,350,0:06:59,60,M
"Marcello, Corey",USA,11,60,270,0:23:43,1:37:04,0:49:33,2:58:35,350,0:08:15,61,F
"Medina, Jared",USA,38,211,270,0:33:21,1:26:56,0:49:29,2:58:35,350,0:08:49,61,M
"Brownlee, Richard",CAN,32,212,272,0:30:33,1:26:30,0:56:08,2:58:42,350,0:05:31,61,M
"Ramirez, Javier",USA,33,213,273,0:29:42,1:28:16,0:52:21,2:58:57,350,0:08:38,61,M
"Baker, Shizuka",USA,8,61,274,0:33:09,1:27:10,0:50:11,2:59:00,441,0:08:30,62,F
"Geary, Greg",USA,18,214,275,0:35:12,1:22:30,0:53:08,2:59:16,414,0:08:26,62,M
"Jones, Wayne",USA,16,215,276,0:34:03,1:25:54,0:50:43,2:59:26,350,0:08:46,62,M
"Munoz, Raul",USA,25,216,277,0:35:11,1:30:53,0:45:32,2:59:32,350,0:07:56,62,M
"O'Neil, John",USA,39,217,278,0:30:26,1:33:05,0:47:23,2:59:42,350,0:08:48,62,M
"Hartlage, Bristol",USA,5,62,279,0:30:18,1:26:27,0:55:46,2:59:54,350,0:07:23,63,F
"Richardson, Brad",USA,34,218,279,0:33:16,1:23:26,0:53:16,2:59:54,350,0:09:56,63,M
"Kaveh, Chris",USA,35,219,281,0:31:04,1:20:27,0:59:31,3:00:04,350,0:09:02,63,M
"Lombrozo, Jessica",USA,9,63,281,0:35:57,1:24:33,0:51:42,3:00:04,582,0:07:52,64,F
"Garafola, Louis",USA,40,220,283,0:34:36,1:25:21,0:55:15,3:00:05,350,0:04:53,64,M
"Martinez, Aaron",USA,12,221,284,0:25:43,1:28:41,0:59:36,3:00:07,350,0:06:07,64,M
"MCDONALD, MICHAEL",USA,41,222,285,0:27:02,1:29:54,0:50:51,3:00:12,350,0:12:25,64,M
"Munguia Murillo, Andres",MEX,35,223,286,0:34:00,1:27:50,0:52:57,3:00:42,350,0:05:55,64,M
"Harrington, Chelsea",USA,12,64,287,0:31:55,1:29:07,0:51:47,3:00:57,350,0:08:08,65,F
"Penas, Eduardo",ESP,42,224,288,0:31:54,1:33:01,0:51:17,3:01:11,350,0:04:59,65,M
"Bates, Mike",USA,36,225,289,0:25:51,1:28:21,1:00:37,3:01:13,350,0:06:24,65,M
"Olivas, Carla",USA,6,65,290,0:35:40,1:30:52,0:46:14,3:01:21,350,0:08:35,66,F
"Jausch, Alex",USA,17,226,291,0:30:37,1:26:29,0:55:45,3:01:39,350,0:08:48,66,M
"Harding, Aaron",USA,18,227,292,0:38:13,1:23:08,0:53:27,3:01:41,350,0:06:53,66,M
"Giles, Jeff",USA,34,228,293,0:29:41,1:29:38,0:52:43,3:01:45,350,0:09:43,66,M
"Pena, Angel",USA,19,228,293,0:31:39,1:21:11,0:57:50,3:01:45,350,0:11:05,66,M
"Baba, Hideki",JPN,37,230,295,0:34:26,1:28:54,0:47:54,3:01:58,350,0:10:44,66,M
"Kauffman, Kohlton",USA,43,231,296,0:36:42,1:25:58,0:50:00,3:02:08,350,0:09:28,66,M
"Gasparini, Rima",USA,4,66,297,0:31:07,1:29:50,0:54:53,3:02:19,731,0:06:29,67,F
"Ward, Richard",USA,35,232,298,0:31:15,1:25:24,0:58:40,3:02:37,350,0:07:18,67,M
"Brandt, Michael",USA,8,233,299,0:32:04,1:30:25,0:51:40,3:02:48,350,0:08:39,67,M
"Graham, Ronald",USA,9,234,300,0:33:34,1:27:28,0:52:29,3:02:51,350,0:09:20,67,M
"Rebolledo, Diana",MEX,16,67,301,0:35:07,1:30:45,0:50:34,3:02:52,350,0:06:26,68,F
"Wampler, James",USA,44,235,302,0:32:51,1:30:13,0:49:22,3:03:05,350,0:10:39,68,M
"Templeton, Nancy",USA,1,68,303,0:26:32,1:27:26,1:03:03,3:03:07,1000,0:06:06,69,F
"roth, matthew",USA,36,236,304,0:41:11,1:22:56,0:47:14,3:03:13,350,0:11:52,69,M
"Ismailoglu, James",USA,19,237,305,0:38:40,1:23:46,0:54:34,3:03:14,350,0:06:14,69,M
"Darmadji, Immanuel",IDN,13,238,306,0:37:46,1:30:31,0:47:07,3:03:15,350,0:07:51,69,M
"Atkins, Martin",USA,20,239,307,0:36:13,1:25:51,0:54:39,3:03:16,350,0:06:33,69,M
"Zarling, Amanda",USA,7,69,307,0:32:55,1:29:12,0:54:32,3:03:16,350,0:06:37,70,F
"Scheevel, Karianne",USA,9,70,309,0:33:37,1:29:08,0:52:04,3:03:23,350,0:08:34,71,F
"Utley, Bryan",USA,36,240,310,0:39:36,1:26:49,0:50:17,3:03:41,350,0:06:59,71,M
"Utley, Kristin",USA,10,71,311,0:39:39,1:26:44,0:50:17,3:03:42,505,0:07:02,72,F
"Whitson, Allison",USA,13,72,312,0:28:30,1:32:13,0:54:33,3:03:45,350,0:08:29,73,F
"Abatjoglou, George",USA,38,241,313,0:33:37,1:27:39,0:53:43,3:03:51,350,0:08:52,73,M
"Bruner, Gus",USA,21,242,314,0:31:15,1:28:00,0:54:46,3:03:52,350,0:09:51,73,M
"Brunke, Kelly",USA,9,73,315,0:00:43,1:49:03,1:01:58,3:03:55,494,0:12:11,74,F
"Sanz, Ray",USA,39,243,316,0:34:05,1:29:55,0:52:53,3:03:56,350,0:07:03,74,M
"Martin, Alyssa",USA,17,74,317,0:32:07,1:28:52,0:55:14,3:03:59,350,0:07:46,75,F
"Heath, Perry",USA,2,244,318,0:30:41,1:32:54,0:51:57,3:04:00,718,0:08:28,75,M
"Dotzler, Cecelia",USA,8,75,319,0:25:38,1:38:07,0:51:53,3:04:09,350,0:08:31,75,M
"Garritson-Gerardi, Angela",USA,10,75,319,0:38:17,1:27:03,0:53:19,3:04:09,490,0:05:30,77,M
"Johnson, Scott",USA,40,245,321,0:24:35,1:23:30,1:04:15,3:04:14,350,0:11:54,77,M
"Weeks, John",USA,20,246,322,0:34:38,1:14:33,1:02:03,3:04:21,350,0:13:07,77,M
"Rogers, Annelizabeth",USA,11,77,323,0:33:53,1:25:39,0:56:37,3:04:27,483,0:08:18,78,F
"Rubio, Jose",USA,37,247,324,0:46:16,1:24:08,0:48:00,3:04:36,350,0:06:12,78,M
"Murphy, John",USA,45,248,325,0:31:37,1:30:08,0:55:56,3:04:37,350,0:06:56,78,M
"Mahroukian, Antranig",USA,37,249,326,0:34:20,1:33:41,0:48:17,3:04:38,350,0:08:20,78,M
"Popichak, Weston",USA,46,250,327,0:35:52,1:33:01,0:46:38,3:04:43,350,0:09:12,78,M
"Crabb, Brian",USA,38,251,328,0:35:05,1:26:47,0:52:53,3:04:49,350,0:10:04,78,M
"Gildenhuys, Eric",USA,21,252,329,0:36:44,1:25:01,0:53:20,3:05:22,350,0:10:17,78,M
"Palmer, James",USA,22,253,330,0:32:29,1:22:37,1:04:04,3:05:48,350,0:06:38,78,M
"Patterson, Lillian",USA,18,78,331,0:33:08,1:37:15,0:47:58,3:05:52,350,0:07:31,79,F
"Newhall, Eileen",USA,5,79,332,0:30:00,1:33:02,0:55:46,3:05:59,476,0:07:11,80,F
"Meziere, Kyle",USA,26,254,333,0:41:02,1:30:54,0:46:22,3:06:05,350,0:07:47,80,M
"Crawford, Carol",USA,11,80,334,0:36:10,1:26:43,0:51:28,3:06:17,451,0:11:56,81,F
"Munoz, Nancy",MEX,19,81,335,0:30:40,1:35:36,0:49:43,3:06:21,350,0:10:22,82,F
"Garza, Gerardo",MEX,39,255,336,0:28:10,1:46:43,0:40:13,3:06:22,350,0:11:16,82,M
"Cabanas, Juan",USA,41,256,337,0:35:49,1:25:27,0:52:57,3:06:23,350,0:12:10,82,M
"Parker, Samuel",USA,27,257,338,0:38:57,1:26:32,0:52:07,3:06:24,350,0:08:48,82,M
"Ong, Michelle",SGP,12,82,339,0:39:21,1:26:27,0:53:34,3:06:25,442,0:07:03,83,F
"Kuan, Mitchell",USA,23,258,340,0:38:36,1:24:14,0:55:37,3:06:27,350,0:08:00,83,M
"Jimenez, Eduardo",USA,22,259,341,0:38:22,1:28:10,0:48:55,3:06:30,350,0:11:03,83,M
"Armas, Pete",USA,38,260,342,0:41:05,1:26:11,0:45:40,3:07:02,350,0:14:06,83,M
"Aguilar, Jeffrey",USA,39,261,343,0:31:55,1:19:37,1:07:31,3:07:09,350,0:08:06,83,M
"Hooper, Joseph",USA,40,262,344,0:37:45,1:27:30,0:52:09,3:07:14,350,0:09:50,83,M
"Oliverio, Anthony",USA,28,263,345,0:32:13,1:42:36,0:44:10,3:07:20,350,0:08:21,83,M
"Barr, Kristopher",USA,41,264,346,0:34:21,1:29:12,0:54:34,3:07:23,350,0:09:16,83,M
"Covarrubias, Luis",USA,29,265,347,0:31:58,1:42:18,0:44:34,3:07:30,350,0:08:40,83,M
"Cohen-Peranteau, Tracy",USA,6,83,348,0:36:12,1:31:33,0:50:41,3:07:33,443,0:09:07,84,F
"Seymour, Ron",USA,24,266,348,0:37:59,1:29:25,0:51:30,3:07:33,350,0:08:39,84,M
"Fischer, Kimberlee",USA,10,84,350,0:39:08,1:31:05,0:48:58,3:07:38,350,0:08:27,85,F
"Stibb, Brandon",USA,40,267,350,0:37:35,1:22:18,1:01:02,3:07:38,350,0:06:43,85,M
"Woods, James",USA,23,268,352,0:34:30,1:23:45,0:58:34,3:07:43,350,0:10:54,85,M
"Molinos, Noel",USA,42,269,353,0:39:05,1:20:32,0:59:20,3:07:50,350,0:08:53,85,M
"Lees, Ryan",USA,41,270,354,0:30:11,1:33:15,0:52:54,3:08:01,350,0:11:41,85,M
"Marlin, Chris",USA,42,271,355,0:35:20,1:29:30,0:53:45,3:08:12,350,0:09:37,85,M
"Hogan, Max",USA,30,272,356,0:30:47,1:31:53,0:53:00,3:08:26,350,0:12:46,85,M
"Dumas, Ashley",USA,14,85,357,0:28:09,1:39:47,0:52:29,3:08:30,350,0:08:05,86,F
"Vanderlin, Amy",USA,15,86,358,0:29:18,1:38:59,0:53:19,3:08:32,350,0:06:56,87,F
"Bennett, Jim",USA,43,273,359,0:33:18,1:32:08,0:53:55,3:09:04,350,0:09:43,87,M
"Carbary, James",USA,3,274,360,0:35:22,1:25:18,0:59:17,3:09:29,603,0:09:32,87,M
"Lancaster, Megan",USA,16,87,361,0:29:34,1:27:54,1:05:00,3:09:38,350,0:07:10,88,F
"Carrillo, Mauricio",USA,44,275,362,0:39:58,1:29:46,0:49:36,3:09:43,350,0:10:23,88,M
"Beaudet, Steve",USA,31,276,363,0:35:25,1:33:57,0:50:06,3:09:51,350,0:10:23,88,M
"Perryman , Frank",USA,25,277,364,0:34:30,1:23:35,0:54:19,3:09:52,350,0:17:28,88,M
"Soren, Scott",USA,25,277,364,0:33:45,1:27:59,0:59:23,3:09:52,350,0:08:45,88,M
"Bittle, Ashley",USA,11,88,366,0:33:11,1:33:46,0:55:29,3:10:07,350,0:07:41,89,F
"Chekan, Chris",USA,24,279,367,0:32:46,1:28:08,1:00:01,3:10:10,350,0:09:15,89,M
"Montplaisir, Daniel",USA,27,280,368,0:32:44,1:29:47,0:59:49,3:10:24,350,0:08:04,89,M
"Walsh, John",USA,47,281,369,0:37:30,1:33:57,0:50:16,3:10:28,350,0:08:45,89,M
"Desmond, Charles",USA,45,282,370,0:34:43,1:32:01,0:57:32,3:10:32,350,0:06:16,89,M
"Morrison, Christine",USA,20,89,371,0:41:22,1:23:57,0:54:10,3:10:35,350,0:11:06,90,F
"Armar, Noorussaad",IND,48,283,372,0:32:18,1:33:03,0:54:40,3:10:41,350,0:10:40,90,M
"Perlstein, Deborah",USA,13,90,373,0:29:32,1:29:15,1:03:31,3:10:42,352,0:08:24,91,F
"Paddock, Brett",USA,28,284,374,0:40:26,1:24:06,0:55:19,3:10:48,350,0:10:57,91,M
"Evans, Michael",USA,42,285,375,0:35:19,1:27:23,1:00:33,3:10:49,350,0:07:34,91,M
"Potter, Jennifer",USA,14,91,376,0:37:53,1:27:47,0:55:02,3:10:55,350,0:10:13,92,F
"Danganan, Jeff",PHL,43,286,377,0:41:04,1:21:00,0:59:24,3:11:02,350,0:09:34,92,M
"Rose, Danielle",USA,12,92,378,0:32:40,1:25:54,1:03:39,3:11:08,350,0:08:55,93,F
"Coons, Crystal",USA,9,93,379,0:33:02,1:26:29,1:02:00,3:11:15,350,0:09:44,94,F
"Yang, Art",USA,44,287,379,0:44:09,1:31:45,0:47:08,3:11:15,350,0:08:13,94,M
"Fatta, Todd",USA,29,288,381,0:35:11,1:28:27,0:56:09,3:11:24,350,0:11:37,94,M
"Salas Vizcarra, Luis Fernando",MEX,32,289,382,0:42:25,1:28:33,0:54:24,3:11:26,350,0:06:04,94,M
"Glover, Timothy",USA,49,290,383,0:28:17,1:37:46,0:57:02,3:11:28,350,0:08:23,94,M
"Nordquest, Richard",USA,1,290,383,0:36:39,1:23:24,1:02:53,3:11:28,1000,0:08:32,94,M
"Suarez, Danielle",USA,21,94,385,0:33:17,1:35:09,0:54:37,3:11:35,350,0:08:32,95,F
"Robertson, Tim",USA,45,292,386,0:40:18,1:33:09,0:52:56,3:11:39,350,0:05:16,95,M
"Macedo De Carvalho, Felipe",BRA,14,293,387,0:30:25,1:38:12,0:52:39,3:11:45,350,0:10:29,95,M
"Bos, Susan",USA,22,95,388,0:36:14,1:27:47,1:00:45,3:11:46,350,0:07:00,96,F
"Merana, Nathan",USA,33,294,389,0:38:52,1:32:18,0:49:21,3:11:54,350,0:11:23,96,M
"Robbins, Jennifer",USA,13,96,390,0:32:49,1:33:16,0:56:02,3:11:56,350,0:09:49,97,F
"Baker, Russell",USA,30,295,391,0:31:48,1:29:23,1:01:20,3:12:02,350,0:09:31,97,M
"Aranda Castillo, Andres",USA,50,296,392,0:40:05,1:29:51,0:49:59,3:12:04,350,0:12:09,97,M
"Schoultz, Bob",USA,4,297,393,0:30:00,1:32:52,1:00:23,3:12:11,547,0:08:56,97,M
"Kelly, Adrienne",USA,23,97,394,0:35:11,1:29:23,0:56:41,3:12:41,350,0:11:26,98,F
"Keeley, Kiley",USA,46,298,395,0:34:24,1:23:18,1:07:07,3:12:48,350,0:07:59,98,M
"Norris, David",USA,43,298,395,0:36:41,1:33:05,0:54:31,3:12:48,350,0:08:31,98,M
"Savercool, Brian",USA,34,300,397,0:40:18,1:31:49,0:50:28,3:12:51,350,0:10:16,98,M
"Ascolani, Alfredo",MEX,44,301,398,0:33:40,1:34:02,0:58:22,3:13:00,350,0:06:56,98,M
"Patrick, Marjorie",CAN,15,98,399,0:37:06,1:28:02,0:58:14,3:13:16,350,0:09:54,99,F
"Sullivan, Sean",USA,35,302,400,0:26:29,1:44:05,0:54:02,3:13:42,350,0:09:06,99,M
"Gregory, Kelsey",USA,17,99,401,0:31:04,1:42:32,0:43:35,3:13:58,350,0:16:47,100,F
"Savage, Darlene",USA,7,100,402,0:39:03,1:31:07,0:55:04,3:13:59,350,0:08:45,101,F
"Nardi, Travis",USA,36,303,403,0:33:14,1:47:25,0:48:12,3:14:13,350,0:05:22,101,M
"Young, Ronald",USA,25,304,404,0:32:10,1:30:35,1:01:09,3:14:17,350,0:10:23,101,M
"Salinger, Eric",USA,46,305,405,0:29:33,1:35:24,1:01:13,3:14:29,350,0:08:19,101,M
"Heineman, Robert",USA,5,306,406,0:30:31,1:30:37,1:05:14,3:14:45,493,0:08:23,101,M
"Valuikas, Andrew",USA,51,307,407,0:31:25,1:36:11,0:57:26,3:14:55,350,0:09:53,101,M
"Patel, Dixit",IND,31,308,408,0:38:11,1:30:36,0:57:34,3:14:57,350,0:08:36,101,M
"Growdon, Elizabeth",USA,18,101,409,0:28:02,1:42:49,0:56:11,3:15:06,350,0:08:04,102,F
"Cranor, Rebekah",USA,24,102,410,0:28:40,1:37:29,1:02:13,3:15:20,350,0:06:58,103,F
"Webster, Aaron",USA,32,309,410,0:37:41,1:34:00,0:53:46,3:15:20,350,0:09:53,103,M
"Cid, Vanessa",USA,25,103,412,0:41:26,1:29:28,0:56:39,3:15:35,350,0:08:02,104,F
"Schneider, Samaro",USA,12,104,413,0:40:26,1:35:35,0:51:44,3:15:48,350,0:08:03,105,F
